Month,Day of the month,Hour of the day,Day of the week,Outdoor air dry bulb temperature,Outdoor air dew point temperature,Electrical load 1 hour ago,Electrical load 2 hour ago,Electrical load 3 hour ago,Electrical load 4 hour ago,Electrical load 5 hour ago,Electrical load 6 hour ago,Electrical load 7 hour ago,Electrical load 8 hour ago,Electrical load 9 hour ago,Electrical load 10 hour ago,Electrical load 11 hour ago,Electrical load 12 hour ago,Electrical load 13 hour ago,Electrical load 14 hour ago,Electrical load 15 hour ago,Electrical load 16 hour ago,Electrical load 17 hour ago,Electrical load 18 hour ago,Electrical load 19 hour ago,Electrical load 20 hour ago,Electrical load 21 hour ago,Electrical load 22 hour ago,Electrical load 23 hour ago,Electrical load 24 hour ago,Electrical load
1,2,17,6,10.9,10.5,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,359.9
1,2,18,6,10.9,10.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,355.3
1,2,19,6,10.4,9.7,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,350.4
1,2,20,6,10.1,9.6,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,337.9
1,2,21,6,9.9,9.6,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,332
1,2,22,6,9.9,9,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,327.4
1,2,23,6,10,9.2,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,325.8
1,3,0,7,9.7,9.2,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,319.4
1,3,1,7,9.3,8.5,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,319.3
1,3,2,7,8.5,7.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,319.2
1,3,3,7,7.7,5.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,319.7
1,3,4,7,6.8,3.9,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,316.3
1,3,5,7,6.3,3.3,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,317.8
1,3,6,7,5.2,2.5,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,324.1
1,3,7,7,5.8,2.9,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,332.6
1,3,8,7,6.8,4.6,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340
1,3,9,7,7.9,6.5,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,344.3,344.2
1,3,10,7,8.9,7.8,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,351.8,349.7
1,3,11,7,9.2,8.2,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,356.5,348.6
1,3,12,7,9.1,8.2,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,366.7,359.7
1,3,13,7,8.9,8.2,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,362.7,351.6
1,3,14,7,8.9,8.3,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,372.9,352.4
1,3,15,7,9.6,8.5,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,360.6,361.9
1,3,16,7,9.4,8.3,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,360.8,359.1
1,3,17,7,8.3,7.8,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,359.9,358.4
1,3,18,7,8.2,7.6,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,355.3,350
1,3,19,7,8.1,7.5,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,350.4,339.1
1,3,20,7,7.8,7,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,337.9,331.3
1,3,21,7,7.4,6.8,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,332,328.9
1,3,22,7,6.6,6.1,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.4,323.2
1,3,23,7,6.5,5.9,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,325.8,327.2
1,4,0,1,6,5.5,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,319.4,351.7
1,4,1,1,6.3,5.8,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,319.3,339
1,4,2,1,6.6,5.9,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,319.2,342.3
1,4,3,1,6.1,5.5,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,319.7,339
1,4,4,1,6.4,5.7,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,316.3,340.9
1,4,5,1,5.8,5.3,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,317.8,341.4
1,4,6,1,6.4,6,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,324.1,368.7
1,4,7,1,6.7,6,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,332.6,391.5
1,4,8,1,7.4,6.2,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,340,427
1,4,9,1,7.7,6.5,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,344.2,459.9
1,4,10,1,8.9,7.4,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,349.7,510.9
1,4,11,1,9.7,7.5,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,348.6,526.1
1,4,12,1,9.8,7.5,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,359.7,540.4
1,4,13,1,10.1,8,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,351.6,538
1,4,14,1,10.4,7.4,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,352.4,540.6
1,4,15,1,9.8,7.2,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,361.9,540.4
1,4,16,1,9.2,7.4,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,359.1,528.5
1,4,17,1,8.6,7.3,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,358.4,496.6
1,4,18,1,8.2,6.7,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,350,453.8
1,4,19,1,7.7,6.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,339.1,419.2
1,4,20,1,7.6,6,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,331.3,402.9
1,4,21,1,7.9,6.3,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,328.9,382
1,4,22,1,7.2,6.2,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,323.2,376.8
1,4,23,1,7.7,6.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,327.2,367.7
1,5,0,2,7.4,6.9,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,351.7,351.7
1,5,1,2,8.1,6.6,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,339,347.3
1,5,2,2,8.2,7.3,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,342.3,347.9
1,5,3,2,8.3,7.4,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,339,345.8
1,5,4,2,6.4,5.6,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,340.9,348.1
1,5,5,2,6.7,6.6,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,341.4,352.2
1,5,6,2,5.7,5.5,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,368.7,369.2
1,5,7,2,7.1,6.9,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,391.5,403.3
1,5,8,2,6.7,6.3,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,427,427.6
1,5,9,2,6.7,6.4,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,459.9,469.7
1,5,10,2,7.4,6.8,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,510.9,500.9
1,5,11,2,8.7,8.3,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,526.1,514.9
1,5,12,2,9.3,7.8,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,540.4,515.2
1,5,13,2,9.6,7.8,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,538,520.6
1,5,14,2,9.3,7.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,540.6,514.5
1,5,15,2,9.4,7.7,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,540.4,510.9
1,5,16,2,9.2,7.6,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,528.5,498.1
1,5,17,2,8.7,7.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,496.6,491.8
1,5,18,2,9,7.8,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,453.8,454.9
1,5,19,2,8.7,7.8,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,419.2,423.3
1,5,20,2,8.2,7.6,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,402.9,396.8
1,5,21,2,7.5,6.8,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,382,381
1,5,22,2,6.9,6.4,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,376.8,370.5
1,5,23,2,6.5,6.2,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,367.7,366.6
1,6,0,3,6.4,6.2,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,351.7,360.6
1,6,1,3,6.3,6.1,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,347.3,356.9
1,6,2,3,6.5,6.4,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,347.9,354.3
1,6,3,3,6.4,6.3,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,345.8,352.9
1,6,4,3,6.2,6.1,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,348.1,353.4
1,6,5,3,5.6,5.5,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,352.2,355.8
1,6,6,3,5.6,5.5,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,369.2,380.7
1,6,7,3,4.9,4.9,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,403.3,417.8
1,6,8,3,5.4,5.4,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,427.6,429.8
1,6,9,3,5.6,5.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,469.7,456.6
1,6,10,3,5,5,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,500.9,479.9
1,6,11,3,5.8,5.7,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,514.9,507.1
1,6,12,3,6.9,6.8,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,515.2,507.2
1,6,13,3,7.7,7.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,520.6,508.3
1,6,14,3,7.9,6.8,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,514.5,506.1
1,6,15,3,8.1,6.5,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,510.9,500.1
1,6,16,3,7.9,6.6,500.1,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,498.1,486.7
1,6,17,3,7.4,6.3,486.7,500.1,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,491.8,470.1
1,6,18,3,7.1,6.2,470.1,486.7,500.1,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,454.9,441.2
1,6,19,3,6.4,5.8,441.2,470.1,486.7,500.1,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,423.3,426.6
1,6,20,3,5.9,5.4,426.6,441.2,470.1,486.7,500.1,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,396.8,404.6
1,6,21,3,5.7,5.5,404.6,426.6,441.2,470.1,486.7,500.1,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,381,392
1,6,22,3,5.6,5.4,392,404.6,426.6,441.2,470.1,486.7,500.1,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,370.5,386.5
1,6,23,3,5.9,5.7,386.5,392,404.6,426.6,441.2,470.1,486.7,500.1,506.1,508.3,507.2,507.1,479.9,456.6,429.8,417.8,380.7,355.8,353.4,352.9,354.3,356.9,360.6,366.6,379.7
